surface,model,n_folds,tp,fp,tn,fn,n_benign,n_attack,tpr,fpr,tpr_lo,tpr_hi,fpr_lo,fpr_hi,lr_plus,corpus_precision,fold_fpr_min,fold_fpr_max,fold_fpr_median,n_folds_with_zero_fp,benign_per_fold_median
d_a_network_heldout_shared,hgb,20,1821764,4559,65017,246642,69576,2068406,0.8807574528404964,0.06552546855237439,0.880315091723324,0.8811983996172403,0.06371063271101345,0.06738828028220037,13.441452191013463,0.9978472704066984,0.019735198601049213,0.5198412698412699,0.06253666327357185,0,3980.5
d_a_network_heldout_shared,logreg,20,1844097,13999,55577,224309,69576,2068406,0.8915546560974973,0.20120443831206164,0.8911301709282831,0.8919776868195931,0.19824202364949736,0.20419984681316836,4.4310884172183345,0.9929001595483136,0.14426229508196722,0.6507936507936508,0.19568805846906792,0,3980.5
d_a_network_heldout_shared,majority,20,2068406,69576,0,0,69576,2068406,1.0,1.0,0.9999981427278468,1.0,0.9999447886067045,0.9999999999999998,1.0,0.9693457183203641,1.0,1.0,1.0,0,3980.5
d_a_network_heldout_shared,mlp,20,2041318,29952,39624,27088,69576,2068406,0.9869039250514647,0.4304932735426009,0.9867480844366415,0.9870579570400855,0.4268179635694483,0.4341762586421756,2.2924955759007983,0.9862150803591291,0.17359413202933985,1.0,0.4479307314723725,0,3980.5
d_a_network_heldout_shared,rf,20,1903364,13790,55786,165042,69576,2068406,0.9202081216163558,0.1982005289180177,0.9198380566418757,0.9205766257091502,0.19525504533509644,0.20117933803952737,4.642813652616358,0.9937978990604167,0.09817636772420685,0.7391304347826086,0.17639060624322545,0,3980.5
d_a_network_heldout_shared,stratified,20,1933478,65181,4395,134928,69576,2068406,0.9347671588653291,0.9368316660917558,0.9344298213004805,0.9351028814683032,0.9349998182739638,0.938615277739707,0.9977962879552958,0.9693865786920025,0.8666666666666667,0.9473684210526315,0.9357221036344225,0,3980.5
d_a_network_heldout_shared,tree,20,1762110,10917,58659,306296,69576,2068406,0.8519168867233996,0.156907554329079,0.8514321838683789,0.8524002823675523,0.15422387967558973,0.15962911420647738,5.429419191230855,0.9944063560515641,0.029727704221833625,0.6507936507936508,0.15736993309407157,0,3980.5
d_a_network_heldout_shared,xgboost,20,1828303,6269,63307,240103,69576,2068406,0.8839188244474248,0.09010290904909739,0.8834815699993432,0.8843546528120229,0.08799786907613756,0.09225321100105534,9.810103067435639,0.997133164197679,0.014401212733703891,0.5714285714285714,0.05978976553877628,0,3980.5
d_a_radio_heldout,hgb,40,17450,1478,4172,1018,5650,18468,0.9448776261641759,0.2615929203539823,0.9414926163158014,0.9480775930779389,0.2502974440054067,0.27321237629093836,3.6120152826979663,0.9281301010019394,0.0,0.8767123287671232,0.20896686159844052,4,136.5
d_a_radio_heldout,logreg,40,14736,1258,4392,3732,5650,18468,0.7979207277452891,0.22265486725663716,0.7920675953272825,0.8036499426576684,0.21199723293516484,0.23368939542739844,3.58366622556509,0.9296671209480127,0.0,0.8698630136986302,0.14077163712200208,2,136.5
d_a_radio_heldout,majority,40,18468,5650,0,0,5650,18468,1.0,1.0,0.9997920293989528,1.0,0.9993205327860618,1.0,1.0,0.7657588177641612,1.0,1.0,1.0,0,136.5
d_a_radio_heldout,mlp,40,17343,1367,4283,1125,5650,18468,0.9390838206627681,0.24194690265486726,0.9355420867991601,0.9424429214741894,0.23095752572127243,0.2532869568266646,3.8813632675527723,0.9324099515929294,0.008849557522123894,0.8904109589041096,0.14818067065473903,0,136.5
d_a_radio_heldout,rf,40,17625,1503,4147,843,5650,18468,0.9543534762833008,0.26601769911504425,0.9512475500521045,0.9572704181833961,0.2546574463162124,0.27769591851806247,3.5875563147043574,0.9264893112942495,0.0,0.8561643835616438,0.21804511278195488,2,136.5
d_a_radio_heldout,stratified,40,14346,4306,1344,4122,5650,18468,0.776803118908382,0.7621238938053098,0.7707404488594358,0.7827506551353061,0.7508456515740191,0.7730459268529395,1.0192609432959494,0.7694721460616305,0.7123287671232876,0.8013698630136986,0.7618259374801044,0,136.5
d_a_radio_heldout,tree,40,16803,1862,3788,1665,5650,18468,0.9098440545808967,0.32955752212389383,0.9056276392650295,0.9138899988680302,0.31742011795938807,0.3419265464395581,2.7608049991310772,0.9075653692182225,0.026785714285714284,0.8676470588235294,0.27398100897874816,0,136.5
d_a_radio_heldout,xgboost,40,17184,1425,4225,1284,5650,18468,0.9304743339831059,0.252212389380531,0.9267157457847212,0.9340538701695429,0.24105923598309026,0.2637022698928438,3.689249113687402,0.9292283084370971,0.0,0.8424657534246576,0.20370370370370372,6,136.5
d_b_target,hgb,20,8795468,4423202,5131518,5967592,9554720,14763060,0.5957754015766379,0.46293371234321884,0.5955250422859809,0.596025711022522,0.46261755746945726,0.46324989702293873,1.2869561790197088,0.6851580571576333,0.01825903846475878,0.6243322671935965,0.6007533449436508,0,477736.0
