model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
majority,101,source_heldout,150920,149080,0.9384177047442354,0.5,142326,6754,0,0,0.9546954655218675,0.5,0.9546954655218675,1.0,0.9768227147004523,0.48841135735022617,0.0,1.0,0.0,0.0,0.5,0.9546954655218675,0.04530453447813255,0.04530453447813255
majority,101,target,150920,1215889,0.9384177047442354,0.5,738153,477736,0,0,0.6070891339587742,0.5,0.6070891339587742,1.0,0.7555139551759891,0.37775697758799454,0.0,1.0,0.0,0.0,0.5,0.6070891339587742,0.3929108660412258,0.3929108660412258
stratified,101,source_heldout,150920,149080,0.9384177047442354,0.5,133581,6350,404,8745,0.8987456399248726,0.4991864791791587,0.9546204915279674,0.9385565532650394,0.9465203697339658,0.49866419668865175,-0.0014098650205466698,0.940183594906722,0.061443446734960584,0.059816405093278055,0.4991864791791587,0.954625098188568,0.04523594282569819,0.10125436007512745
stratified,101,target,150920,1215889,0.9384177047442354,0.5,692686,448250,29486,45467,0.5939456644479882,0.5000623246995405,0.6071208200985857,0.9384043687419816,0.7372572560426888,0.42197870374204804,0.00025312335390421096,0.9382797193429007,0.06159563125801833,0.06172028065709932,0.5000623246995405,0.6071188683708019,0.3929406354006656,0.40605433555201176
logreg,101,source_heldout,150920,149080,0.9384177047442354,0.5,128649,2469,4285,13677,0.891695733834183,0.7691712825299566,0.9811696334599368,0.9039037140086843,0.940953175055953,0.6438460647896693,0.3439322219864532,0.3655611489487711,0.09609628599131571,0.6344388510512289,0.8585480809506423,0.9889549241684801,0.45742890851584356,0.08242639069688337
logreg,101,target,150920,1215889,0.9384177047442354,0.5,651520,408450,69286,86633,0.5928222066323489,0.5138326668867115,0.61465890544072,0.8826354427876064,0.7246667775230059,0.4716768011862451,0.0404116688951805,0.8549701090141836,0.11736455721239364,0.14502989098581642,0.6415861335290032,0.7144048829570633,0.472401787284084,0.29404366284485606
tree,101,source_heldout,150920,149080,0.9384177047442354,0.5,126230,1245,5509,16096,0.8836799034075664,0.8512861567011212,0.9902333790939399,0.8869075221674184,0.9357267022731569,0.6621226691661282,0.4150725716753087,0.1843352087651762,0.11309247783258154,0.8156647912348238,0.8538623111685718,0.9865449015196611,0.4881122377899552,0.10228289008610382
tree,101,target,150920,1215889,0.9384177047442354,0.5,111180,158324,319412,626973,0.3541375898622325,0.4096071939856319,0.41253562099263835,0.15061918057638457,0.22067032730383454,0.33462228532205623,-0.21257613721235558,0.33140479260512085,0.8493808194236154,0.6685952073948792,0.42368750684535217,0.5646668361272722,0.3646598736114266,0.6420358121741265
rf,101,source_heldout,150920,149080,0.9384177047442354,0.5,126949,1175,5579,15377,0.8889723638314999,0.8589941622674752,0.9908291967156817,0.8919593046948555,0.9387982991310778,0.6707344075951311,0.4296062519442961,0.17397098015990525,0.10804069530514453,0.8260290198400948,0.9543888231820502,0.9977017658597807,0.609498331961253,0.09032301560187476
rf,101,target,150920,1215889,0.9384177047442354,0.5,109145,125365,352371,629008,0.3795708325348778,0.4427237465231768,0.4654172529956079,0.14786229955036423,0.22442510921048708,0.3537089411135037,-0.14179885157477248,0.26241480650401056,0.8521377004496358,0.7375851934959894,0.41367079302355114,0.5479255918025845,0.3656009908932202,0.5533192138943092
xgboost,101,source_heldout,150920,149080,0.9384177047442354,0.5,125719,978,5776,16607,0.8820431982828012,0.8692570467968221,0.9922807959146626,0.883317173250144,0.9346338417161358,0.6655528408223745,0.4299709600896808,0.14480307965649986,0.11668282674985596,0.8551969203435001,0.9612136302993661,0.9980265553521563,0.6665396530736273,0.09809497743844986
xgboost,101,target,150920,1215889,0.9384177047442354,0.5,50322,114344,363392,687831,0.34025638853546664,0.4144136392434159,0.30560042753209526,0.06817285847243051,0.11147749438148732,0.29341156902573073,-0.24431624200178315,0.23934557998559874,0.9318271415275695,0.7606544200144013,0.4346065167987885,0.5795995636325039,0.36980839105693347,0.5611224174499512
hgb,101,source_heldout,150920,149080,0.9384177047442354,0.5,124176,317,6437,18150,0.8761269117252481,0.9127703578630251,0.9974536720940134,0.8724758652670629,0.9307882871909422,0.6707800598074618,0.4626322571240152,0.04693514954101273,0.12752413473293706,0.9530648504589873,0.9623814512330193,0.9980768581383032,0.6695113015109939,0.10109270051337393
hgb,101,target,150920,1215889,0.9384177047442354,0.5,66237,121205,356531,671916,0.3477027919489361,0.4180131804547045,0.35337331014393786,0.08973342924840785,0.1431230721859993,0.3082731441778074,-0.22177715174982182,0.2537070683389989,0.9102665707515921,0.7462929316610011,0.4275809556431206,0.593820299480574,0.37216909937596604,0.5534566138397425
mlp,101,source_heldout,150920,149080,0.9384177047442354,0.5,124132,321,6433,18194,0.8758049369466059,0.9123196623369645,0.9974207130402643,0.8721667158495285,0.9305979855985667,0.6702956468256049,0.46182586372750223,0.04752739117559965,0.12783328415047146,0.9524726088244003,0.9548927696266217,0.9977357796544152,0.5822811846547973,0.10942848026752472
mlp,101,target,150920,1215889,0.9384177047442354,0.5,65835,123399,354337,672318,0.34556772863312357,0.41544463188406583,0.34790259678493296,0.08918882670665837,0.14197956193045622,0.3065249576579895,-0.22783818445878437,0.25829956293852674,0.9108111732933416,0.7417004370614733,0.4120094093175017,0.6043855438226512,0.3503225802240736,0.4348253607749939
majority,102,source_heldout,142824,157176,0.938784798073153,0.5,149939,7237,0,0,0.9539560747187866,0.5,0.9539560747187866,1.0,0.9764355371766277,0.48821776858831384,0.0,1.0,0.0,0.0,0.5,0.9539560747187866,0.04604392528121342,0.04604392528121342
majority,102,target,142824,1215889,0.938784798073153,0.5,738153,477736,0,0,0.6070891339587742,0.5,0.6070891339587742,1.0,0.7555139551759891,0.37775697758799454,0.0,1.0,0.0,0.0,0.5,0.6070891339587742,0.3929108660412258,0.3929108660412258
stratified,102,source_heldout,142824,157176,0.938784798073153,0.5,140786,6754,483,9153,0.8987949814221,0.5028477685665037,0.9542225837061136,0.9389551751045425,0.9465273178947086,0.5018892738350447,0.004975858180081041,0.9332596379715352,0.061044824895457483,0.06674036202846484,0.5028477685665036,0.9542063147116492,0.0463162665177445,0.10120501857789993
stratified,102,target,142824,1215889,0.938784798073153,0.5,692974,448418,29318,45179,0.5940443576675174,0.5000815768787009,0.6071305914181981,0.9387945317569664,0.7373848458004464,0.4217823324130556,0.0003322595364846139,0.9386313779995646,0.06120546824303363,0.061368622000435386,0.5000815768787008,0.6071280539949819,0.3929498463339479,0.40595564233248266
logreg,102,source_heldout,142824,157176,0.938784798073153,0.5,138898,1945,5292,11041,0.9173792436504301,0.8288028076100034,0.9861902969973658,0.9263633877776962,0.9553411146494625,0.7021932556700855,0.4516494541459615,0.2687577725576897,0.07363661222230374,0.7312422274423104,0.8911594717764562,0.9933578491701957,0.546065780804873,0.0980114446323738
logreg,102,target,142824,1215889,0.938784798073153,0.5,647577,407991,69745,90576,0.5899568134920211,0.5116422022300429,0.6134867673139012,0.8772937317873124,0.7220487467114451,0.470332789374981,0.03361197246565827,0.8540093273272268,0.12270626821268761,0.14599067267277324,0.5520210040292681,0.6597812557858734,0.4128702893981947,0.3188528078431039
tree,102,source_heldout,142824,157176,0.938784798073153,0.5,133322,1619,5618,16617,0.8839771975365196,0.8327317242400514,0.9880021639086712,0.8891749311386631,0.9359870822802584,0.6586151480890977,0.40019371937642345,0.22371148265856017,0.11082506886133695,0.7762885173414398,0.8657345682698214,0.9877784289402156,0.5932631946106145,0.0842180080009601
tree,102,target,142824,1215889,0.938784798073153,0.5,123046,171753,305983,615107,0.35285211067786615,0.40358998940889074,0.4173894755409618,0.1666944386868305,0.2382414671736925,0.337863450693906,-0.2197380512395049,0.359514459869049,0.8333055613131695,0.6404855401309509,0.3558388062332949,0.5449757463039113,0.3432648431612036,0.5631003870223571
rf,102,source_heldout,142824,157176,0.938784798073153,0.5,140457,2051,5186,9482,0.926623657555861,0.8266781118688511,0.9856078255255846,0.9367609494527774,0.9605637944653219,0.717031497780481,0.47074048515280725,0.2834047257150753,0.06323905054722254,0.7165952742849246,0.9610923849301958,0.9979958511862186,0.6779074952788126,0.045522977604759964
rf,102,target,142824,1215889,0.938784798073153,0.5,157022,40895,436841,581131,0.4884187619100099,0.5635605826887979,0.7933729795823502,0.21272283659349756,0.3354920038031344,0.45980902489803444,0.16818047652017598,0.08560167121590168,0.7872771634065024,0.9143983287840983,0.43928340945476096,0.666709774514836,0.3714058137869713,0.38345963967562824
xgboost,102,source_heldout,142824,157176,0.938784798073153,0.5,138766,1121,6116,11173,0.9217819514429684,0.8852922955929581,0.9919863890139898,0.925483029765438,0.9575814454189755,0.7281587403234484,0.5161587529645976,0.1548984385795219,0.07451697023456205,0.8451015614204781,0.9716858081173545,0.9985138888983388,0.744392263294019,0.05260923504829407
xgboost,102,target,142824,1215889,0.938784798073153,0.5,39471,2136,475600,698682,0.42361679396721247,0.5245007827042701,0.948662484678059,0.053472654043267454,0.10123884272083718,0.33850974701062336,0.1316460188374912,0.00447108863472713,0.9465273459567326,0.9955289113652729,0.4799857689225417,0.6742002811902815,0.37788025487077687,0.43964308500289917
hgb,102,source_heldout,142824,157176,0.938784798073153,0.5,138308,1107,6130,11631,0.9189570926859062,0.8847322594528684,0.9920596779399634,0.9224284542380569,0.9559777988208216,0.7232085169798164,0.5093739505956786,0.15296393533232003,0.0775715457619432,0.84703606466768,0.972368309886212,0.9985510570817745,0.7328543893779058,0.05563448092268001
hgb,102,target,142824,1215889,0.938784798073153,0.5,55631,3719,474017,682522,0.4356055528095081,0.5337902500686256,0.9373378264532435,0.07536513432851996,0.13951295481020135,0.35980374607163473,0.15317859359538982,0.007784634191268818,0.92463486567148,0.9922153658087312,0.7072709985076894,0.7546481051947589,0.5335775677799215,0.41899719581402356
mlp,102,source_heldout,142824,157176,0.938784798073153,0.5,135136,1025,6212,14803,0.8992976026874332,0.8798199554862411,0.9924721469436917,0.9012731844283342,0.9446766864732611,0.6922165819453945,0.46779255129024516,0.14163327345585186,0.09872681557166581,0.8583667265441481,0.9636923455684192,0.9981011743382314,0.6912596756458831,0.06340231746435165
mlp,102,target,142824,1215889,0.938784798073153,0.5,103378,2863,474873,634775,0.4755787740492759,0.5670283532572596,0.973051834978963,0.1400495561218338,0.2448572585783414,0.4215830871897165,0.2318553023192705,0.0059928496073145,0.8599504438781662,0.9940071503926855,0.4577744409898538,0.6414820911261966,0.4035296525890718,0.3972066640853882
majority,103,source_heldout,210621,89379,0.9442078425228254,0.5,85029,4350,0,0,0.9513308495284127,0.5,0.9513308495284127,1.0,0.9750584835558002,0.4875292417779001,0.0,1.0,0.0,0.0,0.5,0.9513308495284127,0.048669150471587284,0.048669150471587284
